"birthYear","deathYear"
1820,1897
1820,1862
1820,1887
1820,1886
1820,1879
1820,1899
1820,1882
1820,1895
1820,1871
1820,1906
1820,1887
1820,1907
1820,1887
1820,1872
1820,1897
1820,1863
1820,1866
1820,1918
1820,1895
1820,1872
1820,1862
1820,1903
1820,1872
1820,1883
1820,1892
1820,1893
1820,1880
1820,1913
1820,1880
1820,1891
1820,1872
1820,1910
1820,1904
1820,1913
1820,1875
1820,1875
1820,1900
1820,1884
1820,1879
1820,1906
1820,1885
1820,1879
1820,1874
1820,1867
1820,1908
1820,1891
1820,1892
1820,1909
1820,1901
1820,1899
1820,1915
1820,1909
1820,1877
1820,1871
1820,1900
1820,1912
1820,1897
1820,1872
1820,1910
1820,1902
1820,1898
1820,1880
1820,1898
1820,1856
1820,1876
1820,1865
1820,189
1820,1872
1820,1856
1820,1891
1820,1864
1820,1889
1820,1884
1820,1881
1820,1900
1820,1889
1820,1889
1820,1883
1820,1870
1820,1901
1820,1903
1820,1905
1820,1894
1820,1889
1820,1898
1820,1895
1820,1904
1820,1897
1820,1838
1820,1903
1820,1877
1820,1874
1820,1894
1820,1891
1820,1895
1820,1854
1820,1906
1820,1880
1820,1886
1820,1877
1820,1890
1820,1906
1820,1890
1820,1893
1820,1887
1820,1902
1820,1885
1820,1886
1820,1905
1820,1863
1820,1883
1820,1898
1820,1895
1820,1834
1820,1873
1820,1854
1820,1885
1820,1895
1820,1905
1820,1875
1820,1899
1820,1898
1820,1890
1820,1901
1820,1887
1820,1886
1820,1893
1820,1874
1820,1909
1820,1891
1820,1890
1820,1873
1820,1866
1820,1888
1820,1865
1820,1863
1820,1899
1820,1864
1820,1875
1820,1895
1820,1902
1820,1871
1820,1876
1820,1870
1820,1867
1820,1878
1820,1828
1820,1893
1820,1911
1820,1882
1820,1864
1820,1896
1820,1881
1820,1895
1820,1886
1820,1863
1820,1900
1820,1878
1820,1898
1820,1892
1820,1875
1820,1871
1820,1856
1820,1865
1820,1864
1820,1867
1820,1889
1820,1885
1820,1864
1820,1893
1820,1860
1820,1860
1820,1879
1820,1901
1820,1872
1820,1900
1820,1894
1820,1890
1820,1885
1820,1888
1820,1895
1820,1880
1820,1884
1820,1889
1820,1891
1820,1899
1820,1887
1820,1890
1820,1901
1820,1874
1820,1892
1820,1886
1820,1896
1820,1897
1820,1899
1820,1900
1820,1906
1820,1891
1820,1872
1820,1893
1820,1899
1820,1879
1820,1902
1820,1915
1820,1893
1820,1911
1820,1877
1820,1898
1820,1889
1820,1898
1820,1899
1820,1882
1820,1896
1820,1887
1820,1874
1820,1875
1820,1901
1820,1863
1820,1893
1820,1883
1820,1891
1820,1866
1820,1898
1820,1888
1820,1896
1820,1883
1820,1900
1820,1892
1820,1896
1820,1882
1820,1908
1820,1912
1820,1864
1820,1866
1820,1880
1820,1895
1820,1895
1820,1905
1820,1880
1820,1902
1820,1876
1820,1903
1820,1905
1820,1849
1820,1875
1820,1878
1820,1882
1820,1892
1820,1885
1820,1880
1820,1881
1820,1874
1820,1887
1820,1879
1820,1911
1820,1903
1820,1868
1820,1886
1820,1877
1820,1900
1820,1881
1820,1870
1820,1895
1820,1893
1820,1883
1820,1894
1820,1899
1820,1909
1820,1892
1820,1899
1820,1894
1820,1890
1820,1894
1820,1918
1820,1900
1820,1885
1820,1880
1820,1901
1820,1890
1820,1903
1820,1880
1820,1905
1820,1882
1820,1865
1820,1891
1820,1872
1820,1903
1820,1892
1820,1858
1820,1910
1820,1883
1820,1892
1820,1841
1820,1909
1820,1858
1820,1882
1820,1891
1820,1891
1820,1903
1820,1907
1820,1903
1820,1890
1820,1854
1820,1909
1820,1896
1820,1903
1820,1878
1820,1876
1820,1872
1820,1909
1820,1891
1820,1888
1820,1894
1820,1857
1820,1872
1820,1901
1820,1887
1820,1902
1820,1846
1820,1888
1820,1884
1820,1867
1820,1893
1820,1851
1820,1890
1820,1901
1820,1885
1820,1898
1820,1890
1820,1898
1820,1882
1820,1864
1820,1863
1820,1885
1820,1879
1820,1906
1820,1884
1820,1888
1820,1886
1820,1892
1820,1900
1820,1878
1820,1898
1820,1892
1820,1906
1820,1910
1820,1891
1820,1885
1820,1889
1820,1889
1820,1893
1820,1914
1820,1889
1820,1893
1820,1881
1820,1877
1820,1884
1820,1875
1820,1902
1820,1898
1820,1899
1820,1869
1820,1861
1820,1870
1820,1887
1820,1845
1820,1893
1820,1905
1820,1889
1820,1898
1820,1871
1820,1894
1820,1903
1820,1899
1820,1882
1820,1889
1820,1894
1820,1893
1820,1884
1820,1899
1820,1905
1820,1898
1820,1879
1820,1900
1820,1869
1820,1895
1820,1870
1820,1881
1820,1888
1820,1872
1820,1932
1820,1932
1820,1886
1820,1876
1820,1883
1820,1883
1820,1889
1820,1889
